i3-dab5| accepted; 
nig2 nam-sza3-tam| xxx 
hu-mu-ne-gub-ba-am3| I made stand,
e2-dub-ba-sze3 i3-du-en| I am going to the scribal school 
4(u) 1(barig) 2(ban2) 5(disz) sila3 sze| 40 (head-gur) 1 barig 2 ban2 5 sila3 barley; 
e2 puzur4-isz-{d}gan-da| House Under the Protection of Dagan 
kiszib3 a-gu| under seal of Agu; 
dumu lugal-ma2-gur8-re| son of Lugal-magure. 
5(u) 6(asz) 3(barig) 5(ban2)| 56 gur, 3 barig, 4 ban2, 
KA-ku5-ra2-ke4| of praise(?) 
a2-bi u4 1(u) 8(disz)| its labor: 18 workdays; 
mu 3(disz)-kam| the 3rd year, 
8(disz) geme2 u4 1(disz)-sze3| 8 female laborers for 1 day 
dumu si-im-ti-szi-il-ha-ak| son of Simti-šilhak, 
ki-su7 gub-ba| at the threshing floor stationed 
mu-na-gi-in| standardize (this).
nig2 ga2-e za-ra ab-szid-na-gu10| This is what I recite to you 
dingir-gin7 pa3-de3-da| might be revealed like (that of) a god, 
nig2-gi-na-ni-sze3| according to his righteousness,
dingir-ra-ni-ir| his god,
{d}nin-gublaga| For Ningublaga, 
bir5-ditanx(ELLES160)| (a kind of flying insect) 
mu hu-uh2-nu-ri{ki} ba-hul| Year: "Huhnuri was destroyed."
szagina uri5{ki}-ma| governor-general of Ur, 
e2-kur| into the Ekur,
3(disz) gu4 niga| 3 oxen, grain-fed,
a {disz}da-bi-bi lu2 a-szi-pu| offspring of Dābibi the exorcist.
na-ha-nu-um| for Naḫanum (?); 
a-ru-a lu2-{d}utu| donated (by) Lu-Utu; 
lu2-sza-lim dumu da-da sanga-ke4| did Lu-šalim, son of Dada, the household administrator, 
ugnim esz3-nun-na{ki} i3-si-in| the armies of Eshnunna, Isin 
uri2{ki} gul-gul-de3| When they have ordered(!) Urim to be destroyed 
1(u) {d}am-an-ki kur-sze3 ba-u5-a-ba| When Enki rode towards the netherworld 
3(disz) nin-da-nir-gal2| (and) 3 (for) Ninda-nirgal 
{d}en-lil2| of Enlil
{d}alad| May a male guardian angel 
lugal ki-en-gi ki-uri-me-en| and king of Sumer and Akkad, 
2(barig) 1(ban2) 3(disz) 2/3(disz) sila3 i3-gesz| 2 barig 1 ban2 3 2/3 sila3 sesame oil, 
ama-gi4-bi| and their remission (of obligations) 
gal ti-ru-um-ma-ki te , te-em-me-en-da-ga-al| with temen gal; 
pu2-bi me-te-bi| The top of the head of the frog (is) the ornament of its (the field or orchard's) pond(?) 
u3 hal-li2-a dub-sar| and Ḫalliya, the scribe; 
1(ban2)(2(ban2)) 1(disz) ur-mes dumu-ni| 10 litres (of barley) 1 unit (for) Ur-mesz, his son
zi-de3 {u2}hirim mu2-mu2-de3| So that hirin grass grows in the fertile field 
sax(SZU2.SA)-du8-du8| (that of) Sadudu; 
1(u) 6(asz) dub-sar gu4-apin| 16, scribe of plow oxen; 
eme-gir15 nam-dub-sar sza3 dub-ba szid nig2-ka9-sze3| Regarding the Sumerian language, the scribal art, (its) content, counting and accounting(?) 
szaga mi-ni-in-dab5-dab5-ba-na| when he had taken them prisoner,
iti sze-il2-la| month “Barley carried”;
e-sze3-sa10| he exchanged.
GAN2 u3-gig-ga| in the field Ugiga, 
mu-na-szum2| he (Ningešzida) has given, 
enkar szibir| The enkar weapon, the shepherd's staff, 
{d}i-din-{d}da-gan-wa-qar| Iddin-Dagān-waqar, 
i3-usz2| has died; 
a-ru-a szu-na| donated (by) Šuna; 
a-ra2 3(disz)-am3 e3-ba i3-bi2-dib di til-am3| after he has made him proceed through (court) appearances regarding it for the 3rd time, the suit shall be ended.
{d}mar-tu| To Mardu, 
1/2(asz) gu2 ninda sal-la| 1/2 talent, breadsticks; 
uru2 sza3-ba uru2 sza3-ab hu-mu-da-gul a uru2-gu10 ga-am3-du11| In the middle of the city, the inner city must be destroyed, and I shall say “Alas, my city” 
